,編號,日期,課程,遊戲規則,知識點說明,專案問題,專案連結
,1,2025.12.12,教育版初階班_L1,安裝麥塊 / 認識minecraft,1.mac 切換 minecraft遊戲 以及 影片畫面 可以直接 command + tab !!!    2. mac 縮放螢幕可以按 command + control + F 呦  3.  創建時開啟作弊模試是為了可以“打指令”  4.按下shift是蹲下，空白鍵連續點兩下可飛行，按下Ｅ是開啟/關掉倉庫  5.左鍵破壞方塊，右鍵放置方塊  6.按下 '/' 鍵就可以開啟輸入指令匡                   ,挑戰小遊戲中一直被箭射到很煩，要專注，不要太急，一步一步來！,minecraft教育版
,2,2025.12.12,教育版初階班_L2,認識agent,"1. /gamerule dodaylightcycle false 關閉日夜循環          
2.積木如果變成灰色，代表不會執行喔！
3.如果要重複做一樣的事情，用迴圈程式可以省力喔！","什麼是 Agent？Agent 是 Minecraft 裡你的小助手機器人！你可以叫他做事情，像是：幫你蓋房子 幫你挖洞
幫你鋪地板 幫你種樹 跟著你走走走,  指令英文記得要背熟。 練習主題時，
一定要耐心得一步一步跟著影片做才不會做錯！","minecraft教育版 
agent.  wall.  stair"
,3,2025.12.12,教育版初階班_L3,認識迴圈/巢狀迴圈                                                                                                   ,"舉例：如果你要拍 100 次手，你會寫 100 次『拍手』嗎？不會！你會說『拍手 100 次』，迴圈就是做到這件事
1.迴圈裡面的積木會一起重複,數字決定做幾次 
2.巢狀迴圈中，外圈決定「要做幾排」內圈決定「每排要做幾個」  ","1.什麼是迴圈？「迴圈就是讓agent一直做重複的事情，不用你一行一行寫。」 
2.什麼是巢狀迴圈？就是迴圈中有迴圈  
3.為什麼要兩層？因為 Minecraft 空間是3D der，只用一層迴圈只能做直線。                                                                                                 ","minecraft教育版
 stair.   wall"
,4,2025.12.12,教育版初階班_L4,L3迴圈的延伸應用,"1.左上4個箭頭按鈕用來放大/縮小程式：右下角「+」「-」調整大小
2.想看看別人寫的酷程式？回到主頁小房子 點一下 選 「匯入 URL」貼上別人給你的網址 點 「繼續」嘿！成功","1.你覺得讓 Agent 蓋樓梯的程式也可以變得更精簡嗎？
哪些動作是一直重複的，可以用迴圈來處理？
2.如果外層迴圈跑 5 次，內層迴圈跑 2 次，你覺得總共會執行幾次？
（想想看：外面跑一次 裡面跑幾次？）
3.Agent 如果要蓋一條「ㄇ字形」的牆，你覺得用 3 個迴圈好？還是用一個巢狀迴圈好？
why ？","minecraft教育版 
wall.  wall_pro  ceiling"
,5,2025.12.12,教育版初階班_L5,認識布林值(bool)以及紅石的操作,"1.紅石粉就像「電線」一樣負責傳遞能量會把訊號一路傳下去,但是最長只能傳 15 格，超過就沒電了 !!（補充）
2.有電時碰到tnt, tnt就會被引燃！！會爆炸！
3. 布林值只有兩種可能：True（真）＝是    False（假）＝不是","1.紅石是什麼？ Minecraft 裡的「電線」
2.ON / OFF 很像哪種程式概念? 布林值（true / false） ","minecraft教育版
tnt.   bomber"
,6,2025.12.13,教育版初階班_L6,"認識麥塊的種植 以及  條件判斷(if, if else, if  else if)","1./gamerule randomtickspeed可以調快、調慢遊戲裡面時間
2.輸入程式時，按下 Tab 鍵，系統會自動幫你找出左側相關的指令，讓你更快選到正確的指令，不用全部自己打
3.如果（If）」積木
條件成立（True）：執行「如果」裡面的內容，接著繼續往下執行程式
條件不成立（False）：跳過「如果」裡面的內容，直接執行後面的程式
 不論成不成立，後續的程式碼都會繼續執行

「如果…否則（If–Else）」積木
條件成立（True）：執行「如果」那一段，再繼續執行後面的程式
條件不成立（False）：執行「否則」那一段，再繼續執行後面的程式

4.或積木 ：不一定要全部對，只要「其中一個」對就可以。","1.如果（If）積木如果條件不成立，If 裡面的動作會執行嗎？不會，會被跳過。
2.不管 If 成立或不成立，後面的程式會不會繼續跑？會，後面的程式一定會繼續執行。","minecraft教育版
farmer"
,7,2025.12.13,教育版初階班_L7,"認識判斷迴圈 while( 條件 ) , 特殊煙火！","1.判斷迴圈while 的意思是：條件是 True -> 繼續做 ，條件變成 False -> 立刻停止
2.隨機取數，是電腦幫你抽籤！
3.打開工作台 先在工作台製作「煙火星」 製作煙火星 把 染料 + 特殊材料 + 火藥 放在一起，就能做出煙火星。決定顏色 加入不同的 染料，煙火爆炸時的顏色就會不一樣。調整爆炸效果 加入特殊材料可以改變煙火效果：苦力帕頭顱：變成苦力帕形狀 鑽石：煙火會閃亮亮  螢光粉：顏色會慢慢消製作煙火火箭，放入：火藥 + 紙 + 煙火星 完成！
","1.什麼是隨機取數？每次執行，數字都可能不一樣。就像丟骰子一樣，不知道會出現哪一個數字。
2.隨機 1 ～ 3  可能出現 1、2、3","  minecraft教育版
firework.   firework_pro"
,8,2025.12.13,教育版初階班_L8,認識有關紅石的東西,"1. 按鈕按一下(right button)，就會發出短暫紅石訊號的
2.拉桿拉一下就開，再拉一下才會關的紅石開關
3.壓力板踩上去就有紅石電，離開就沒電的開關
4.活塞是一種通電時會伸出去，把方塊推走的機關方塊
5.黏性活塞是會把方塊「拉回來」的活塞
6.鵝卵石生成器是讓水和岩漿碰在一起，不停產生鵝卵石的裝置","哪一個開關會一直有電，直到你把它關掉？A. 按鈕 B. 拉桿C. 壓力板
 答案：B
站在什麼上面，門會自動打開？A. 按鈕 B. 拉桿 C. 壓力板
 答案：C
活塞通電時會做什麼？A. 發光B. 推出方塊C. 產生水
 答案：B","minecraft教育版
piston.  stone"
,9,2025.12.13,教育版初階班_L9,用紅石製作自動連閃機關！,"1.連閃器是一種可以控制紅石燈、活塞或其他裝置不停閃爍或反覆動作的紅石電路 用來自動發射器 / TNT 大炮
2.中繼器的功能 單向傳導 紅石信號只能沿著箭頭方向傳送 不能倒著傳
3.中繼器的用途製作 連閃器 延長紅石線距離 控制活塞、紅石燈、發射器的動作時機 做複雜紅石機關、TNT大炮等
4.延遲性，一格0.1秒","1.什麼是紅石中繼器？延長紅石訊號 控制訊號方向 調整紅石裝置的延遲 / 節奏
2.紅石訊號為什麼傳不到？ 中間沒放中繼器，或方向錯了
3.延遲怎麼調？ 右鍵點中繼器可以切換 1～4 級延遲
4.可以倒著放中繼器嗎？ 不行，箭頭方向很重要","minecraft教育版
fire.      machine"
,10,2025.12.13,教育版初階班_L10,認識發射器，變數，計次迴圈for(int i ; i < n; i++)," 1.發射器是一種 通電時，會把裡面的物品「發射」出去的方塊
2.記次迴圈就是：事情重複做幾次」的積木 你先告訴agent「要做幾次」，它就會乖乖幫你重複做到完成為止。
3.記次迴圈會：數次數 做完一次再做下一次 做到指定次數就停下來
4.記次迴圈 + 變數 你可以用變數來決定次數(n)： 重複 n 次, n變，動作就跟著變","1. 什麼是變數？變數就像：一個可以裝東西的小盒子盒子裡可以放數字、分數、次數、狀態，而且裡面的東
西 可以改來改去。
2.為什麼要用變數？不用變數：程式寫死改一個數字要改很多地方。
用變數：只改一次，全程都會變程式更整齊"," minecraft教育版
variable.   arrows.   八字轟炸機"
,11,2025.12.14,教育版初階班_L11,認識離散數學（邏輯運算子）和 Minecraft 紅石的關係,"1.邏輯閘就像：會「想事情」的開關它會看「是不是有電／是不是對的」，再決定 要不要動作。
2.常見的三種邏輯閘
3AND（而且） 兩個都要對，才會動 例子： 兩個拉桿都打開 ->門才會開 A 有電 而且 B 有電 ->有輸出
4OR（或者） 只要有一個對，就會動 例子：左邊或右邊按鈕，按一個門就開 A 有電 或 B 有電 -> 有輸出
5.NOT（不是） 結果相反 例子：拉桿關 -> 門開. 有電 ->燈關.  沒電 -> 燈亮
 6.用 0 和 1 來看 1 = 開 / 有電 / 對  0 = 關 / 沒電 / 錯","1.為什麼要用邏輯閘？不是只有「有電就動」 可以設定規則
2.如果想做一個「沒人踩，門才開」的機關，會用到哪種邏輯？答案：NOT
3.兩個拉桿都要打開，門才會開，這是什麼邏輯？ 答案：AND
4.如果有 3 個按鈕，全部都要按，裝置才會啟動，這算 AND 邏輯嗎？ 答案：是
5.用 OR 邏輯時，同時按兩個按鈕，裝置會不會動？答案：會
6.只按其中一個拉桿，門卻沒開，可能是用了哪一種邏輯？ 答案：AND",minecraft教育版
,12,2025.12.14,教育版初階班_L12,實用紅石機關設計 (認識紅石比較器),"比較器的兩種模式:
比較模式（預設）  前面 ≥ 後面，才會輸出訊號  例子：箱子裡的物品比較多 -> 有輸出 訊號夠強 -> 裝置啟動
減法模式（亮燈狀態）輸出 = 前面 − 後面 例子：控制燈光亮度 訊號變強或變弱","1.比較器可以偵測什麼？ 箱子 / 漏斗 裡有多少東西  熔爐燒了多少 唱片機有沒有放唱片 釀造台狀態
 很適合做「自動判斷機關」
2.想做「箱子有東西才亮燈」，要用哪個？ 紅石比較器
3.想讓訊號變弱一點，可以用哪種模式？  減法模式",minecraft教育版
